30000
Yaw Pitch Raw
0.jpg -16.76165 -3.5406952 -0.46829224
1.jpg 8.85363 -16.055931 -1.1508865
2.jpg 35.265182 -6.8904114 -1.581253
3.jpg -16.793152 1.0109482 0.13366699
4.jpg 5.474228 -12.340668 -0.8944092
5.jpg -10.291061 -12.996246 3.0722656
6.jpg 18.706627 1.4545441 -0.56101227
7.jpg -4.365608 -14.402573 0.20597076
8.jpg -1.1470642 -9.217377 0.256073
9.jpg -21.561745 -13.435341 2.342575
10.jpg -8.455429 1.3948288 -1.3228912
11.jpg -12.200317 -25.924324 4.8330917
12.jpg -1.5014496 -9.6764145 -0.9076538
13.jpg 0.9262085 -8.019943 -0.71595764
14.jpg 1.6548004 -22.076218 -0.7845459
15.jpg 4.7386627 -4.512314 -0.1444931
16.jpg -1.0610046 -16.09851 -0.30715942
17.jpg 10.215385 -8.551247 -1.3537674
18.jpg 7.867424 -10.756332 -0.9642105
19.jpg -31.058159 -5.6945953 4.396927
20.jpg -0.2996292 -8.857071 0.58673096
21.jpg 7.2381134 -12.962288 -1.4285202
22.jpg 7.3009033 -4.9105377 -0.10882568
23.jpg 7.4924927 -19.048355 -2.2614594
24.jpg 10.718246 -12.540367 0.47410583
25.jpg 20.410828 9.773697 1.3380203
26.jpg -10.20401 -7.5579605 2.1025772
27.jpg -9.188728 -12.74054 1.1128693
28.jpg 17.98272 0.39123535 -0.5939331
29.jpg -4.784668 -23.520332 -1.0753784
30.jpg -0.040672302 -13.78598 -0.7284546
31.jpg 2.4709625 2.043396 -0.19278717
32.jpg 1.7712402 -18.40403 -0.8082962
33.jpg 2.8928223 -12.211746 1.2584381
34.jpg 14.052864 3.7980804 1.675827
35.jpg -0.3533249 -1.0798874 1.445816
36.jpg 4.340042 -15.940208 -0.6549072
37.jpg 13.143005 -8.884003 -1.5503769
38.jpg -16.915443 2.199051 0.9203186
39.jpg -0.45924377 -7.797882 -0.16244507
40.jpg 9.016617 -1.6389618 0.2903366
41.jpg 16.592445 -16.106033 -1.3547974
42.jpg -2.7637177 -11.876595 1.0555115
43.jpg -4.930382 -11.6870575 2.433075
44.jpg 6.3773804 -6.9899826 -0.80926514
45.jpg -4.5621643 -18.20597 0.24323273
46.jpg -17.175797 -14.78537 2.2189484
